title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"The Sentinel",1977,92,13000,19.0,3700000,0,0
"Airport '77",1977,114,13000,36.0,6000000,0,0
"The Duellists",1977,100,28000,70.0,900000,0,0
"The Kentucky Fried Movie",1977,83,21000,61.0,600000,0,0
"Rabid",1977,91,22000,56.0,530000,0,0
"Cross of Iron",1977,119,30000,64.0,6000000,0,201
"3 Women",1977,124,18000,82.0,1500000,0,2589
"That Obscure Object of Desire",1977,103,26000,84.0,0,0,2864
"Jabberwocky",1977,105,17000,61.0,500000,0,0
"The American Friend",1977,128,20000,79.0,3000000,0,3978
"Damnation Alley",1977,91,6100,30.0,7200000,0,0
"Martin",1977,95,13000,68.0,80000,0,0
"Tentacles",1977,102,4700,36.0,5000000,0,0
"Desperate Living",1977,90,6300,0,65000,0,1109
"Rollercoaster",1977,119,7200,0,9000000,0,908
"The Choirboys",1977,119,2000,21.0,6500000,0,0
"The Serpent's Egg",1977,119,6600,0,12000000,0,39238
"The Haunting of Julia",1977,98,3300,57.0,1100000,0,0
"Animal",1977,91,3400,0,25000000,0,7196268
"The Picture Show Man",1977,99,287,0,600000,0,197
"Who's Afraid of Virginia Woolf?",1966,131,82000,75.0,7500000,0,28006929
"The Good, the Bad and the Ugly",1966,178,848000,90.0,1200000,0,25264999
"The Battle of Algiers",1966,121,70000,96.0,800000,64870,962002
"Masculine Feminine",1966,103,18000,93.0,0,26855,205543
"Andrei Rublev",1966,189,59000,0,1000000,11537,176472
"Made in U.S.A",1966,90,4800,0,50000,11147,95304
"Au hasard Balthazar",1966,95,24000,98.0,0,8436,45406
"The Nun",1966,134,3400,0,0,6273,32659
"Django",1966,91,32000,75.0,0,6150,30323
"King of Hearts",1966,102,4600,0,0,3443,18130
"Time to Die",1966,90,582,0,0,3411,13707
"Daisies",1966,75,16000,0,0,6576,14191
"The Endless Summer",1966,95,6500,82.0,50000,0,12253
"Fahrenheit 451",1966,112,46000,0,1500000,11206,581
"Blow-Up",1966,111,70000,82.0,1800000,0,38575
"El Dorado",1966,126,32000,85.0,4653000,0,0
"Persona",1966,83,136000,86.0,0,0,90813
"A Man for All Seasons",1966,120,38000,72.0,2000000,0,756
"Seconds",1966,106,24000,71.0,0,0,647
"Harper",1966,121,11000,51.0,3500000,0,0
"One Million Years B.C.",1966,92,10000,58.0,422816,0,669
"Batman: The Movie",1966,105,37000,71.0,1377800,0,1846
"Fantastic Voyage",1966,100,22000,72.0,5115000,0,0
"Grand Prix",1966,176,11000,72.0,9000000,0,0
"The Fortune Cookie",1966,125,16000,63.0,3705000,0,0
