title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"Ghost in the Shell",2017,107,233000,52.0,110000000,18676033,169846945
"King Arthur: Legend of the Sword",2017,126,240000,41.0,175000000,15371270,149175066
"Jigsaw",2017,92,98000,39.0,10000000,16640452,102952888
"American Assassin",2017,111,96000,45.0,33000000,14846778,67234188
"The Foreigner",2017,113,128000,55.0,35000000,13113024,145418070
"Everything, Everything",2017,96,44000,52.0,10000000,11727390,61721140
"Wind River",2017,107,295000,73.0,11000000,161558,44202682
"Geostorm",2017,111,125000,21.0,120000000,13707376,221900160
"Fist Fight",2017,91,47000,37.0,22000000,12201873,41187017
"How to Be a Latin Lover",2017,115,18000,54.0,10000000,12252439,62547032
"Kidnap",2017,95,40000,44.0,21000000,10016323,34814102
"The Mountain Between Us",2017,112,86000,48.0,35000000,10551336,62832209
"Life",2017,104,266000,54.0,58000000,12501936,100541806
"I, Tonya",2017,119,252000,77.0,11000000,264155,53939297
"Hostiles",2017,134,101000,65.0,39000000,22849,35669017
"Molly's Game",2017,140,196000,71.0,30000000,2349967,59284015
"The Nut Job 2: Nutty by Nature",2017,91,7600,36.0,40000000,8342311,68743485
"Rings",2017,102,44000,25.0,25000000,13002632,83080890
"Logan Lucky",2017,118,170000,78.0,29000000,7600036,48453605
"Home Again",2017,97,36000,41.0,12000000,8567881,37270721
"The House",2017,88,49000,30.0,40000000,8724795,34284504
"All the Money in the World",2017,132,94000,72.0,50000000,5584684,56996304
"Gifted",2017,101,150000,60.0,7000000,446380,43069254
"Downsizing",2017,135,130000,64.0,68000000,4954287,55003890
"The Bye Bye Man",2017,96,27000,37.0,7400000,13501349,29874280
"Victoria & Abdul",2017,111,39000,58.0,21000000,158845,66558465
"Rough Night",2017,101,57000,51.0,20000000,8004283,47347283
"My Little Pony: The Movie",2017,99,8400,39.0,6500000,8885899,60330833
"Phantom Thread",2017,130,151000,90.0,35000000,216495,52204454
"The Disaster Artist",2017,104,168000,76.0,10000000,1211345,29820616
"Sleepless",2017,95,36000,34.0,30000000,8344128,32917353
"Diary of a Wimpy Kid: The Long Haul",2017,91,12000,39.0,22000000,7126084,40140972
"The Circle",2017,110,103000,43.0,18000000,9034148,40656399
"Baahubali 2: The Conclusion",2017,167,123000,0,2500000000,10430497,254158390
"CHIPS",2017,100,52000,28.0,25000000,7722802,26800152
"Only the Brave",2017,134,83000,72.0,38000000,6002665,26351322
"Call Me by Your Name",2017,132,337000,94.0,4000000,412932,67446279
"Mother!",2017,121,258000,76.0,30000000,7534673,44516999
"The Zookeeper's Wife",2017,127,48000,57.0,20000000,3288835,26152835
"Father Figures",2017,113,23000,22.0,25000000,3287451,25701244
"Chappaquiddick",2017,106,15000,67.0,13000000,5765854,18263470
"The Glass Castle",2017,127,40000,56.0,9000000,4678548,22088533
"Flatliners",2017,109,52000,27.0,19000000,6574326,45158254
"Detroit",2017,143,57000,77.0,34000000,350190,23355100
"The Case for Christ",2017,112,11000,50.0,5000000,3967885,18175663
"Wish Upon",2017,90,24000,32.0,12000000,5467084,23468586
"It Comes at Night",2017,91,107000,78.0,5000000,5988370,19735344
"Megan Leavey",2017,116,29000,66.0,0,3810867,14510490
"Battle of the Sexes",2017,121,62000,73.0,25000000,518332,18598607
"Before I Fall",2017,98,58000,58.0,5000000,4690214,16373843
"Roman J. Israel, Esq.",2017,122,45000,58.0,22000000,61999,13025860
"Unforgettable",2017,100,17000,45.0,12000000,4785431,17768012
"The Beguiled",2017,93,65000,77.0,10500000,229292,27869129
"Marshall",2017,118,28000,66.0,12000000,3000805,10116816
"The Wife",2017,99,44000,77.0,0,108284,19978189
"Thank You for Your Service",2017,109,16000,68.0,20000000,3817700,9995692
"The Death of Stalin",2017,107,120000,88.0,13000000,184805,24646055
"The Space Between Us",2017,120,57000,33.0,30000000,3775596,16080475
"Let There Be Light",2017,100,3400,0,3000000,1729535,7241302
"Beatriz at Dinner",2017,82,11000,68.0,0,141959,7425391
"Loving Vincent",2017,94,66000,62.0,5000000,23180,42187665
"The Snowman",2017,119,75000,23.0,35000000,3372565,43084060
"Same Kind of Different as Me",2017,119,8900,47.0,15000000,2591985,6423605
"Just Getting Started",2017,91,8700,21.0,22000000,3201459,7634022
"The Current War",2017,102,32000,55.0,30000000,2633717,12217160
"The Florida Project",2017,111,138000,92.0,2000000,157553,10954677
"All Saints",2017,108,2100,63.0,2000000,1514278,5944974
"Suburbicon",2017,105,48000,42.0,25000000,2840246,12768857
"The Man Who Invented Christmas",2017,104,21000,60.0,0,1357129,8127070
"Tiger Zinda Hai",2017,161,35000,0,20470000,1787108,87320000
"The Book of Henry",2017,105,30000,31.0,10000000,1424540,4596705
"Stronger",2017,119,51000,76.0,30000000,1611040,8503658
"The Hero",2017,96,11000,61.0,1200000,45317,4101699
"Table 19",2017,87,32000,40.0,5000000,1597928,5042014
"Phoenix Forgotten",2017,87,7300,33.0,2800000,1816499,3697729
"Disobedience",2017,114,38000,74.0,6000000,237393,8003180
"An Inconvenient Sequel: Truth to Power",2017,98,8500,68.0,1000000,124823,5433926
"Til Death Do Us Part",2017,101,1600,0,0,1527289,3599068
"First Reformed",2017,113,65000,86.0,3500000,97562,3870404
"Raees",2017,143,52000,0,0,1798379,26385310
"The Leisure Seeker",2017,112,10000,45.0,0,0,10472180
"Thoroughbreds",2017,92,48000,75.0,6000000,1224430,3187255
"Ingrid Goes West",2017,98,50000,71.0,0,135301,3146831
"Newsies: The Broadway Musical",2017,149,3900,0,2000000,1333538,2827489
"Wolf Warrior 2",2017,123,9300,44.0,30100000,219022,870325439
"My Cousin Rachel",2017,106,22000,63.0,0,969941,9200168
"A Question of Faith",2017,104,1200,0,0,1025489,2587072
"Do It Like An Hombre",2017,109,1400,0,0,1174484,13610252
"You Were Never Really Here",2017,89,131000,84.0,2500000,132829,9360514
"Tulip Fever",2017,105,24000,38.0,25000000,1158017,9204549
"The Rider",2017,104,21000,85.0,0,42244,3436124
"Mary and the Witch's Flower",2017,103,18000,74.0,0,348475,42170708
"T2 Trainspotting",2017,117,137000,67.0,18000000,170575,41681746
"Papillon",2017,133,91000,51.0,7000000,1090073,10060903
"Jeepers Creepers III",2017,100,25000,0,6200000,19151,4017852
"The Resurrection of Gavin Stone",2017,91,2600,36.0,2000000,1206771,2308355
"The Killing of a Sacred Deer",2017,121,203000,73.0,0,115120,6938106
"The Lovers",2017,97,4400,76.0,0,66286,2216083
"Brad's Status",2017,102,20000,71.0,0,89921,3805422
"Good Time",2017,102,147000,80.0,4500000,125101,3274936
"A Fantastic Woman",2017,104,28000,81.0,0,64241,3839364
"The Bride of Badrinath",2017,139,14000,0,0,862008,26134309
"Everybody Loves Somebody",2017,102,4400,74.0,2000000,924201,6481798
"Along With the Gods: The Two Worlds",2017,139,21000,0,0,185546,109393162
"Youth",2017,135,3600,69.0,0,338604,227091290
"Toilet: A Love Story",2017,155,24000,0,0,678436,35978876
"The Wall",2017,88,33000,57.0,0,897955,4477141
"The Last Word",2017,108,9100,40.0,0,31630,2982004
"Goodbye Christopher Robin",2017,107,31000,54.0,0,57917,7401949
"Jane",2017,90,5900,87.0,0,58348,1921221
"Menashe",2017,82,2700,81.0,0,62078,1962265
"Slamma Jamma",2017,104,1900,0,1000000,1687000,1687000
"Jab Harry Met Sejal",2017,143,23000,0,0,1284740,15360368
"Jolly LLB 2",2017,137,28000,0,0,774355,24214186
"The Little Hours",2017,89,27000,69.0,0,56676,1647175
"A Ghost Story",2017,92,84000,84.0,100000,104030,1951683
"The Bookshop",2017,113,18000,62.0,5400000,75736,12062146
"Professor Marston & the Wonder Women",2017,108,30000,68.0,0,736883,1899615
"The Stray",2017,92,1200,0,0,596547,1579440
"A Taxi Driver",2017,137,35000,69.0,0,331854,86252940
"Sword Art Online the Movie: Ordinal Scale",2017,119,9500,0,0,196454,29322339
"The Square",2017,151,80000,73.0,0,74233,8588030
"Judwaa 2",2017,145,12000,0,0,638045,28733523
"Finding Your Feet",2017,111,7500,53.0,5400000,60132,15775555
"Wonder Wheel",2017,101,32000,46.0,25000000,125570,15889124
"My Friend Dahmer",2017,107,25000,68.0,0,35545,1436751
"The Dinner",2017,120,10000,57.0,0,653944,2544921
"Churchill",2017,105,16000,44.0,6400000,408891,6724365
"The Sense of an Ending",2017,108,7900,61.0,0,39692,5081495
"Maria By Callas",2017,119,2200,71.0,0,91915,2869237
"3 Idiots",2017,106,1600,0,0,609249,7738470
"True to the Game",2017,108,926,0,0,472436,1231040
"Lean on Pete",2017,121,14000,80.0,0,46975,2443584
"The Trip to Spain",2017,108,6500,66.0,0,40875,1988841
"Step",2017,84,1200,81.0,0,146488,1152839
"Viceroy's House",2017,106,8700,53.0,8500000,48134,11568633
"The Battleship Island",2017,132,9000,60.0,0,59344,46183383
"Wonderstruck",2017,116,11000,71.0,0,65882,3285916
"Film Stars Don't Die in Liverpool",2017,105,11000,65.0,10000000,36048,4047917
"Columbus",2017,100,22000,89.0,0,26820,1094217
"Perfect Strangers",2017,97,16000,0,4000000,422656,33262366
"Golmaal Again",2017,140,12000,0,0,1013893,2058098
"1945",2017,91,4400,73.0,1467000,20365,1240738
"The Insult",2017,113,19000,72.0,2405039,24957,3666268
"The Dawn Wall",2017,100,22000,81.0,0,21615,1445519
"Last Flag Flying",2017,125,30000,65.0,0,40558,1872950
"Lucky",2017,88,27000,80.0,0,43293,2728446
"Faces Places",2017,94,14000,94.0,0,31006,3996577
"The Heart of Man",2017,76,568,0,850000,0,1179033
"Landline",2017,97,5000,66.0,0,52555,940854
"Tubelight",2017,136,22000,0,1550000000,930058,4650456
"Let the Sunshine In",2017,94,8000,79.0,2978000,39699,4192590
"Journey to the West: The Demons Strike Back",2017,109,3800,59.0,63300000,463883,247585244
"The Cakemaker",2017,113,5300,74.0,0,33384,1287568
"Jagga Jasoos",2017,161,12000,0,0,490232,1154862
"The Ex-File 3: Return of the Exes",2017,120,604,0,0,125291,307592427
"Bombshell: The Hedy Lamarr Story",2017,88,4500,70.0,1500000,8000,1092941
"Beast",2017,107,17000,74.0,0,53248,1744071
"Patti Cake$",2017,109,11000,67.0,0,67599,1482356
"Mark Felt: The Man Who Brought Down the White House",2017,103,15000,49.0,0,34217,4372130
"Mubarakan",2017,156,4500,0,0,310170,12899968
"The Party",2017,71,22000,73.0,0,37396,5597950
"On Chesil Beach",2017,110,13000,62.0,0,35765,3338249
"Walk With Me",2017,94,1100,55.0,800000,9932,1606705
"May it Last: A Portrait of the Avett Brothers",2017,104,812,0,500000,9616,725286
"Shubh Mangal Savdhan",2017,119,11000,0,0,259999,7038885
"The Devotion of Suspect X",2017,112,1000,0,0,323207,59035664
"Wilson",2017,94,11000,49.0,0,336227,848646
"The Only Living Boy in New York",2017,89,19000,33.0,0,54458,2550321
"Foxtrot",2017,113,8200,88.0,0,31629,1356159
"Itzhak",2017,82,367,69.0,0,14350,704968
"The Midwife",2017,117,3100,66.0,6789000,21341,7286136
"Battle of Memories",2017,119,1300,0,22000000,224942,43892362
"Novitiate",2017,123,5400,73.0,0,22724,580346
"Loveless",2017,127,37000,86.0,0,30222,3928358
"Bitter Harvest",2017,103,4300,34.0,30000000,219357,904399
"Dolores",2017,95,385,81.0,0,13534,555309
"The Children Act",2017,105,16000,62.0,0,76108,17696794
"Anna and the Apocalypse",2017,93,17000,63.0,0,52588,673523
"Brigsby Bear",2017,97,18000,67.0,0,39652,681632
"Human Flow",2017,140,2800,77.0,0,45677,1824537
"Fireworks",2017,90,4100,40.0,0,138014,25672406
"Fairy Tail: Dragon Cry",2017,85,2700,0,0,169203,1420035
"Our President",2017,119,136,0,0,9421,13392049
"Breathe",2017,118,26000,51.0,0,22285,5130787
"Once Upon A Time",2017,109,1700,0,0,249933,82886178
"Confidential Assignment",2017,124,4900,0,0,21228,55972241
"Beach Rats",2017,98,17000,78.0,0,46451,486623
"Duckweed",2017,102,1700,0,0,160739,152894264
"Phillauri",2017,138,4200,0,0,260982,5805030
"Final Portrait",2017,90,6200,70.0,0,25472,1677835
"Scotty and the Secret History of Hollywood",2017,98,1900,67.0,0,28144,461689
"Chasing the Dragon",2017,128,4700,0,0,138346,87965942
"Condorito: The Movie",2017,88,994,0,8000000,248456,8431194
"Song to Song",2017,129,23000,55.0,0,50559,1813453
"A Bag of Marbles",2017,110,6800,55.0,21400000,14420,10898998
"A Gentleman",2017,145,7700,0,600000000,191530,3438746
"Love, Kennedy",2017,92,852,0,0,45285,407871
"The Invisibles",2017,110,1800,60.0,0,27164,1224098
"The Night Is Short, Walk on Girl",2017,92,6800,65.0,0,18302,3884060
"The Gospel According to André",2017,93,872,67.0,0,47802,454550
"Leaning Into The Wind",2017,97,490,76.0,0,24840,452372
"Tom of Finland",2017,117,6600,56.0,5000000,13524,1792414
"Rebel in the Rye",2017,106,11000,46.0,0,37967,944370
"Oh Lucy!",2017,95,3500,69.0,0,14569,600145
"Grace Jones: Bloodlight and Bami",2017,115,1300,75.0,0,56171,632394
"Mountain",2017,74,4300,82.0,0,6067,2129889
"Kung Fu Yoga",2017,107,12000,50.0,65000000,111979,257753889
"OK Jaanu",2017,135,5200,0,0,225968,5445281
"Long Strange Trip",2017,238,2000,78.0,0,33272,351957
"Pearl Jam: Let's Play Two",2017,120,767,75.0,0,53177,450273
"This Is Not What I Expected",2017,106,1900,0,0,135252,30996615
"God's Own Country",2017,104,38000,85.0,0,17768,2532534
"Shine",2017,95,253,0,400000,205842,333388
"Flower",2017,90,11000,45.0,0,48919,380553
"In the Fade",2017,106,37000,65.0,0,10455,5104963
"The Opera House",2017,111,97,74.0,0,191466,325235
"The Breadwinner",2017,94,29000,78.0,0,17395,2790214
"City Of Rock",2017,117,753,0,0,115524,9118873
"Happy End",2017,107,17000,72.0,12034009,23091,2610794
"Ittefaq",2017,105,15000,0,290000000,298032,2520487
"Buddies in India",2017,99,426,0,0,181705,110155128
"Son of Bigfoot",2017,92,8500,0,30000000,0,47046281
"But Deliver Us from Evil",2017,109,251,0,250000,99541,285169
"I Do... Until I Don't",2017,106,3400,43.0,0,170775,280668
"Kings",2017,86,3900,34.0,0,163289,910269
"The Endless",2017,111,53000,80.0,0,9083,956425
"The King",2017,107,1300,70.0,0,29050,273601
"Back to Burgundy",2017,113,5800,58.0,7870000,15157,11625884
"Best F(r)iends: Volume 1",2017,108,2800,0,1500000,131671,290064
"Gook",2017,94,2800,69.0,0,27044,251541
"Sarkar 3",2017,130,2300,0,550000000,164364,358928
"Band Aid",2017,91,6100,67.0,0,29013,248370
"The Swindlers",2017,117,2600,0,0,82818,29721916
"The Ottoman Lieutenant",2017,106,27000,26.0,40000000,149830,413844
"Crown Heights",2017,94,3000,64.0,0,30173,238558
"American Satan",2017,111,4700,0,0,135378,237708
"Borg vs. McEnroe",2017,107,35000,63.0,165000000,52625,3431867
"MFKZ",2017,94,5400,48.0,0,6094,461724
"Rumble: The Indians Who Rocked The World",2017,103,1100,73.0,0,0,226006
"Little Pink House",2017,98,1100,55.0,0,68507,220948
"Mazinger Z: INFINITY",2017,95,2100,0,0,137451,4812371
"Getting Grace",2017,112,469,0,0,103831,220406
"The Adventurers",2017,108,3500,47.0,0,68614,36798147
"The Prison",2017,125,2300,0,0,80376,21205329
"Keep the Change",2017,94,961,73.0,0,12445,202788
"Zama",2017,115,7400,89.0,0,26123,489692
"Gemini",2017,93,5800,71.0,0,32980,200340
"Gauguin: Voyage to Tahiti",2017,102,2500,54.0,0,35994,3389322
"The Final Year",2017,89,3400,67.0,0,67971,262286
"Goldbuster",2017,89,318,0,0,79180,57628292
"Summer 1993",2017,97,8700,81.0,960000,21307,2989015
"The Other Side of Hope",2017,100,14000,84.0,1600000,15495,4282973
"Whose Streets?",2017,102,1400,79.0,0,43804,182799
"Marjorie Prime",2017,99,7000,82.0,0,20668,213858
"The Guardians",2017,138,2700,81.0,8900000,7479,4167608
"Take Every Wave: The Life of Laird Hamilton",2017,118,731,66.0,0,12636,223301
"Tigers Are Not Afraid",2017,83,9700,76.0,26040000,30710,576598
"Champion",2017,116,347,0,500000,108591,175232
"9/11",2017,90,4800,20.0,0,170000,200229
"Valley of Bones",2017,90,570,0,3000000,107393,168738
"Double Lover",2017,107,14000,70.0,7300000,62995,5008945
"Boom for Real: The Late Teenage Years of Jean-Michel Basquiat",2017,78,677,72.0,0,22717,197179
"Far From the Tree",2017,93,652,70.0,0,19885,166018
"Journey's End",2017,107,12000,73.0,0,11798,970809
"Ex Libris",2017,197,1500,91.0,0,10926,198239
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",2017,90,1600,41.0,10000000,22310,163386
"Blade of the Immortal",2017,140,20000,72.0,0,49569,7162617
"Eating Animals",2017,94,1200,69.0,0,34524,153993
"Ghost Stories",2017,98,38000,68.0,0,11972,4131358
"Chavela",2017,93,1200,68.0,0,22453,272842
"Thelma",2017,116,38000,74.0,47500000,10841,1463727
"Hampstead",2017,102,7700,53.0,0,17141,6335171
"City of Ghosts",2017,92,4200,86.0,0,13601,228225
"Monster Family",2017,93,5600,0,0,576,29230695
"The Young Karl Marx",2017,118,7500,62.0,9500000,26097,4870373
"120 BPM",2017,143,17000,84.0,5383899,8566,7704369
"Lost & Found",2017,96,250,62.0,0,0,164026
"The Thousand Faces of Dunjia",2017,113,1500,40.0,0,57837,46263237
"Daisy Winters",2017,90,404,0,2500000,85160,123773
"Buena Vista Social Club: Adios",2017,110,536,67.0,0,64469,701575
"Explosion",2017,106,239,0,0,55307,7731410
"Love After Love",2017,91,1100,84.0,0,11290,128602
"Five Seasons: The Gardens of Piet Oudolf",2017,75,106,69.0,0,7525,146526
"Ryuichi Sakamoto: Coda",2017,100,2200,78.0,0,12827,984803
"Our Time Will Come",2017,130,1000,82.0,0,50619,9484714
"Bodied",2017,120,6300,75.0,0,53000,113956
"We Love You, Sally Carmichael!",2017,84,736,0,0,30951,113435
"Lu Over the Wall",2017,112,2800,62.0,0,60773,161253
"The Captain",2017,118,23000,67.0,5800000,7568,1197218
"Reset",2017,105,1500,0,0,54276,29966205
"Mary Shelley",2017,120,18000,49.0,0,12570,2096600
"Love, Cecil",2017,98,320,63.0,0,9331,107940
"Belle and Sebastian, Friends for Life",2017,91,967,0,0,38017,33895230
"Fabricated City",2017,126,7100,0,0,24808,18307490
"Sweet Country",2017,113,9600,88.0,0,8895,1810021
"Memoir of War",2017,127,1400,57.0,6563754,11653,2980982
"Filmworker",2017,94,3600,73.0,0,7984,112828
"Ismael's Ghosts",2017,114,2900,65.0,5904998,19158,3075562
"Revenge",2017,108,58000,81.0,3000000,45924,938055
"Walking Out",2017,95,6900,79.0,0,5462,162445
"Wonders of the Sea",2017,82,296,0,9200000,0,279415
"Munna Michael",2017,140,4100,0,0,64949,189105
"Tim Timmerman: Hope of America",2017,94,343,0,0,50604,97727
"Poster Boys",2017,128,1800,0,0,51264,2557576
"The Mayor",2017,130,496,0,0,47128,9559638
"Keep Watching",2017,89,5100,0,5000000,0,94178
"Let the Corpses Tan",2017,92,3600,62.0,0,11918,93409
"Memoir of a Murderer",2017,118,14000,0,0,27665,19015346
"Madame",2017,91,8900,45.0,4000000,0,5381950
"The King's Case Note",2017,114,527,0,8540000,8462,11383493
"Because of Grácia",2017,107,291,0,1200000,52171,90878
"Dina",2017,103,1200,75.0,0,6015,96524
"The Third Murder",2017,124,8400,68.0,0,10670,13411936
"Skid Row Marathon",2017,85,472,68.0,0,84997,84997
"How to Talk to Girls at Parties",2017,102,13000,50.0,0,12674,385733
"Warriors of the Dawn",2017,130,512,0,0,41959,5497176
"Custody",2017,93,11000,83.0,3100000,4947,3790360
"Claire's Camera",2017,69,2700,80.0,0,11489,191980
"Godard Mon Amour",2017,107,6200,55.0,11110000,10994,1332204
"Earth: One Amazing Day",2017,95,3200,0,0,45480,12851540
"The Nile Hilton Incident",2017,111,9600,70.0,4250000,8183,3979536
"En el séptimo día",2017,92,323,87.0,0,12793,79887
"Have a Nice Day",2017,77,2300,77.0,0,10463,504003
"Shock and Awe",2017,90,9100,47.0,16450000,45856,182415
"Pop Aye",2017,104,1100,73.0,0,3598,204464
"The Divine Order",2017,96,3200,67.0,0,0,195081
"The Brawler",2017,154,9000,0,0,47808,140981
"Bill Nye: Science Guy",2017,101,1300,73.0,0,7005,74909
"Tehran Taboo",2017,96,5200,74.0,0,4962,349886
"After Auschwitz",2017,83,141,74.0,0,0,73885
"Bye Bye Germany",2017,102,1800,65.0,0,4874,176933
"Wait for Your Laugh",2017,85,624,70.0,0,14946,73585
"The Last Suit",2017,91,1000,63.0,0,27549,608209
"Nico, 1988",2017,93,2100,75.0,0,12309,83558
"Edie",2017,102,2800,41.0,0,8801,3109406
"Namiya",2017,116,713,0,0,39584,35351623
"Turn It Around: The Story of East Bay Punk",2017,155,365,65.0,0,5211,69787
"Outside In",2017,109,6500,76.0,0,14136,68492
"Under the Tree",2017,89,5700,75.0,250000000,13617,944991
"Architects of Denial",2017,102,262,0,0,58472,65424
"Beuys",2017,107,523,58.0,0,9084,86451
"Tragedy Girls",2017,98,13000,58.0,0,12125,122211
"Manolo: The Boy Who Made Shoes for Lizards",2017,89,578,52.0,0,8186,64889
"The Force",2017,92,743,80.0,0,0,59912
"Where Is Kyra?",2017,98,1900,72.0,0,7000,74821
"Bomb City",2017,98,8800,65.0,0,31005,59329
"Horn from the Heart: The Paul Butterfield Story",2017,95,126,70.0,0,3086,58597
"Woman Walks Ahead",2017,101,8800,51.0,0,6863,80912
"Ramen Heads",2017,93,736,58.0,0,7085,57345
"Django",2017,117,2100,49.0,0,11722,3876874
"Saving Brinton",2017,90,196,78.0,0,2690,56218
"The Paris Opera",2017,110,277,54.0,0,7709,781039
"Extraordinary Mission",2017,117,922,0,23000000,28649,22757764
"God of War",2017,128,2500,54.0,25000000,23912,9559524
"One Cut of the Dead",2017,96,33000,86.0,3000000,6360,27590180
"Before We Vanish",2017,129,2900,64.0,0,8370,448829
"Beautiful Accident",2017,104,349,0,0,25801,2632092
"I Am Not a Witch",2017,93,4500,80.0,0,8252,182462
"The China Hustle",2017,82,4000,67.0,0,25791,48650
"Person to Person",2017,84,1900,53.0,0,11852,48499
"Napping Princess",2017,111,1600,69.0,0,10865,1176216
"Saving Banksy",2017,80,1100,73.0,66000,1317,47965
"Quest",2017,104,364,88.0,0,6591,50022
"Racer and the Jailbird",2017,130,5900,50.0,8000000,2513,400026
"Summer in the Forest",2017,108,45,72.0,0,8366,67743
"Maze",2017,92,3700,0,0,8308,1067045
"Rodin",2017,119,1500,39.0,5348095,0,2413672
"What Will People Say",2017,106,6200,69.0,0,4024,2191131
"Liyana",2017,77,407,80.0,0,2160,44045
"Hitler's Hollywood",2017,105,874,78.0,0,8634,43766
"Antonio Lopez 1970: Sex Fashion & Disco",2017,95,220,0,0,7167,73122
"Bluebeard",2017,117,2300,0,0,21234,8855737
"Woodshock",2017,100,2500,39.0,5000000,12247,43682
"A Ciambra",2017,118,3000,70.0,0,6330,104808
"Golden Exits",2017,94,2400,72.0,0,11719,41888
"Western",2017,121,4400,81.0,1800000,6688,155215
"Humor Me",2017,93,1500,53.0,0,3342,40099
"Unrest",2017,98,3300,80.0,0,10607,40081
"Submission",2017,106,1600,52.0,0,0,44069
"Zilla and Zoe",2017,104,167,0,0,11392,39003
"Araby",2017,97,1400,82.0,500000,8668,38399
"78/52",2017,91,4000,74.0,0,3738,46838
"Krystal",2017,90,1800,39.0,0,0,37516
"On the Beach at Night Alone",2017,101,5100,80.0,0,7594,429159
"Breath",2017,115,4100,71.0,0,5258,3322479
"Three Christs",2017,109,3900,39.0,0,0,36723
"No Date, No Signature",2017,99,7100,71.0,0,4993,107368
"The Sower",2017,98,770,75.0,0,4128,433112
"The House of Tomorrow",2017,85,2500,58.0,0,6652,35821
"The Big Bad Fox and Other Tales",2017,83,3900,73.0,3000000,0,9399572
"PGS: Intuition Is Your Personal Guidance System",2017,83,67,0,1250000,0,35423
"That Summer",2017,80,520,62.0,0,5977,44659
"24 Frames",2017,114,2400,77.0,0,8101,39808
"Dave Made a Maze",2017,80,9700,60.0,0,17135,34117
"Wasted! The Story of Food Waste",2017,85,525,74.0,0,17189,33211
"Super Dark Times",2017,103,26000,75.0,0,19328,33109
"Sollers Point",2017,101,837,73.0,0,10618,32608
"Spettacolo",2017,91,190,76.0,0,4403,32494
"Goodland",2017,84,578,0,0,17621,34483
"Brimstone & Glory",2017,67,911,70.0,0,2125,35579
"Signature Move",2017,80,714,0,0,18935,31551
"Intent to Destroy: Death, Denial & Depiction",2017,115,566,75.0,0,8699,31534
"Good Manners",2017,135,4400,73.0,0,2476,35714
"7 Witches",2017,72,786,0,0,1875,31100
"XX",2017,80,13000,64.0,0,6222,55668
"The Wound",2017,88,2100,80.0,0,0,213043
"Dealt",2017,85,2000,66.0,0,4293,30414
"The Desert Bride",2017,78,732,68.0,0,2127,205350
"Lemon",2017,83,2800,59.0,0,5957,29258
"Berlin Syndrome",2017,116,28000,70.0,0,22916,397783
"The Villainess",2017,124,18000,64.0,0,4238,8737458
"30 Years of Garbage: The Garbage Pail Kids Story",2017,114,266,0,75000,5030,27739
"Bronx Gothic",2017,91,80,66.0,0,4696,27151
"The Cured",2017,95,9800,57.0,0,4875,323776
"The Charmer",2017,100,1300,78.0,0,4128,106379
"The Misandrists",2017,91,545,56.0,0,3278,26123
"Moscow Never Sleeps",2017,100,334,51.0,3700000,0,38004
"The Lucky Man",2017,98,1700,0,1000000,4956,25015
"No Intenso Agora",2017,127,631,72.0,0,5565,38223
"An Elephant's Journey",2017,87,664,0,15000000,0,24844
"The Day After",2017,92,2600,72.0,100000,3727,166022
"The Departure",2017,87,270,85.0,0,4850,24662
"Life and Nothing More",2017,114,595,82.0,0,6536,40581
"Vazante",2017,116,689,68.0,0,3489,25091
"Death House",2017,95,1800,0,0,10140,23833
"For Ahkeem",2017,90,176,75.0,0,10500,23136
"The Recall",2017,90,9700,0,0,6570,112357
"The Judge",2017,76,126,66.0,0,0,23127
"The Workshop",2017,113,2300,74.0,3501774,2860,1000056
"Loving Pablo",2017,123,23000,42.0,14582000,16564,17535967
"Bending the Arc",2017,102,433,80.0,0,3160,36586
"The Female Brain",2017,98,3600,41.0,0,6886,21786
"Trophy",2017,108,778,80.0,0,3522,22553
"Ava",2017,102,375,79.0,0,2996,20940
"Did You Wonder Who Fired the Gun?",2017,90,527,78.0,0,5725,20765
"The Devil and Father Amorth",2017,68,2700,46.0,0,7814,20449
"RV: Resurrected Victims",2017,91,708,0,0,10589,2269892
"Izzy Gets the Fuck Across Town",2017,86,2100,51.0,0,10559,20208
"The Man from Outer Space",2017,74,68,0,100000,1962,20102
"Lore",2017,87,228,0,0,7084,20006
"Trafficked",2017,108,2000,38.0,0,10413,19698
"Freak Show",2017,91,4600,54.0,0,4809,20657
"Who We Are Now",2017,95,1300,83.0,0,5188,19128
"November",2017,115,6600,79.0,1450000,3354,19084
"Anything",2017,94,845,60.0,0,4110,22537
"Mrs. Hyde",2017,95,1700,60.0,4637933,5943,778142
"Bobbi Jene",2017,95,508,52.0,0,7035,18579
"Gabriel and the Mountain",2017,131,1500,69.0,0,4963,505769
"Mansfield 66/67",2017,84,501,54.0,0,6451,19390
"Marlina the Murderer in Four Acts",2017,93,3500,77.0,0,3296,26331
"Escapes",2017,89,190,72.0,0,1339,17778
"Bad Grandmas",2017,92,1100,0,0,3380,17688
"Haikara-San: Here Comes Miss Modern",2017,97,251,0,0,6748,16572
"Mission Control: The Unsung Heroes of Apollo",2017,101,1700,71.0,0,0,16405
"Three Peaks",2017,94,515,57.0,0,1419,23069
"Song of Granite",2017,104,379,68.0,1300000,3096,21349
"All the Queen's Horses",2017,70,564,0,450000,6573,16172
"Sicilian Ghost Story",2017,122,2500,70.0,0,4324,204892
