year,duration,rating,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
1966,134,7.5,3400,0,0,6273,32659
1966,91,7.2,32000,75.0,0,6150,30323
1966,102,7.3,4600,0,0,3443,18130
1966,90,7.4,582,0,0,3411,13707
1966,75,7.2,16000,0,0,6576,14191
1966,95,7.6,6500,82.0,50000,0,12253
1966,112,7.2,46000,0,1500000,11206,581
1966,111,7.4,70000,82.0,1800000,0,38575
1966,126,7.5,32000,85.0,4653000,0,0
1966,83,8.0,136000,86.0,0,0,90813
1966,120,7.7,38000,72.0,2000000,0,756
1966,106,7.6,24000,71.0,0,0,647
1966,121,6.8,11000,51.0,3500000,0,0
1966,92,5.7,10000,58.0,422816,0,669
1966,105,6.5,37000,71.0,1377800,0,1846
1966,100,6.8,22000,72.0,5115000,0,0
1966,176,7.2,11000,72.0,9000000,0,0
1966,125,7.2,16000,63.0,3705000,0,0
1966,114,7.0,16000,70.0,800000,0,0
1966,126,7.0,11000,69.0,3900000,0,0
1966,119,5.0,3300,0,1000000,0,170
1966,128,6.6,31000,55.0,6000000,0,613
1966,150,6.5,2200,0,2400000,0,90
1966,105,6.4,8500,69.0,4800000,0,0
1966,112,7.0,14000,75.0,0,0,1500
1966,96,6.1,3400,0,3000000,0,4966
1966,96,6.0,2100,71.0,800000,0,0
1966,84,5.9,4700,0,286000,0,115
1966,103,6.1,792,51.0,2500000,0,0
1966,112,6.4,1200,0,600000,0,437
1982,115,7.9,452000,92.0,10500000,11835389,797307407
1982,116,7.4,118000,88.0,21000000,5540470,177200285
1982,124,7.1,65000,75.0,7500000,3304679,129795890
1982,99,6.8,219000,57.0,17000000,12431486,125052898
1982,113,7.7,132000,68.0,11200000,14347221,79822604
1982,96,6.9,89000,71.0,12000000,4369868,78868669
1982,114,7.3,187000,79.0,10700000,6896612,77233131
1982,114,6.1,14000,40.0,35000000,11874268,69701637
1982,127,6.6,51000,39.0,50000000,510632,57063861
1982,129,7.7,48000,77.0,16000000,100982,53993738
1982,191,8.0,243000,79.0,22000000,131153,52768419
1982,93,7.7,288000,61.0,15000000,6642005,125212904
1982,102,5.8,15000,16.0,17000000,6322804,47118057
1982,136,5.9,30000,44.0,21000000,8152948,46708276
1982,93,7.1,74000,66.0,15000000,4657335,44625778
